FID,cd_identificador,dt_ocorrencia,dc_tipo_ocorrencia,nm_distrito,ge_ponto,dt_carga,nm_subprefeitura,sg_fonte_original
risco_ocorrencia_alagamento.75,75,2026-01-08,ALAGAMENTO,,POINT (-46.407294100000264 -23.491211315626128),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.108,108,2026-01-10,ALAGAMENTO,,POINT (-46.70312600000069 -23.819194016144504),2026-07-03,PA - PARELHEIROS,SIGRC
risco_ocorrencia_alagamento.148,148,2026-01-13,ALAGAMENTO,,POINT (-46.55302140000043 -23.527748015683603),2026-07-03,PE - PENHA,SIGRC
risco_ocorrencia_alagamento.158,158,2026-01-14,ALAGAMENTO,,POINT (-46.54716500000042 -23.55011101571884),2026-07-03,AF - ARICANDUVA/VILA FORMOSA,SIGRC
risco_ocorrencia_alagamento.166,166,2026-01-14,ALAGAMENTO,,POINT (-46.65303070000061 -23.524536715678458),2026-07-03,SE - SE,SIGRC
risco_ocorrencia_alagamento.168,168,2026-01-14,ALAGAMENTO,,POINT (-46.551916300000435 -23.53675741569779),2026-07-03,AF - ARICANDUVA/VILA FORMOSA,SIGRC
risco_ocorrencia_alagamento.176,176,2026-01-14,ALAGAMENTO,,POINT (-46.411665100000256 -23.49101811562583),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.177,177,2026-01-14,ALAGAMENTO,,POINT (-46.40499150000026 -23.491967915627324),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.182,182,2026-01-14,ALAGAMENTO,,POINT (-46.46122240000031 -23.48785281562082),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.193,193,2026-01-15,ALAGAMENTO,,POINT (-46.76068430000083 -23.671246515909942),2026-07-03,MB - MBOI MIRIM,SIGRC
risco_ocorrencia_alagamento.202,202,2026-01-15,ALAGAMENTO,,POINT (-46.41277730000025 -23.49109751562596),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.206,206,2026-01-15,ALAGAMENTO,,POINT (-46.5302385000004 -23.61376081581928),2026-07-03,VP - VILA PRUDENTE,SIGRC
risco_ocorrencia_alagamento.208,208,2026-01-15,ALAGAMENTO,,POINT (-46.530826900000406 -23.614120915819843),2026-07-03,VP - VILA PRUDENTE,SIGRC
risco_ocorrencia_alagamento.209,209,2026-01-15,ALAGAMENTO,,POINT (-46.49054360000034 -23.619570215828467),2026-07-03,SB - SAPOPEMBA,SIGRC
risco_ocorrencia_alagamento.211,211,2026-01-15,ALAGAMENTO,,POINT (-46.531020600000396 -23.612541115817358),2026-07-03,VP - VILA PRUDENTE,SIGRC
risco_ocorrencia_alagamento.212,212,2026-01-15,ALAGAMENTO,,POINT (-46.52591840000038 -23.612704015817602),2026-07-03,VP - VILA PRUDENTE,SIGRC
risco_ocorrencia_alagamento.213,213,2026-01-15,ALAGAMENTO,,POINT (-46.5282410000004 -23.612939015817982),2026-07-03,VP - VILA PRUDENTE,SIGRC
risco_ocorrencia_alagamento.214,214,2026-01-15,ALAGAMENTO,,POINT (-46.5315460000004 -23.61228361581695),2026-07-03,VP - VILA PRUDENTE,SIGRC
risco_ocorrencia_alagamento.215,215,2026-01-15,ALAGAMENTO,,POINT (-46.75848200000083 -23.661154015893988),2026-07-03,MB - MBOI MIRIM,SIGRC
risco_ocorrencia_alagamento.219,219,2026-01-15,ALAGAMENTO,,POINT (-46.5256807000004 -23.586077515775575),2026-07-03,SB - SAPOPEMBA,SIGRC
risco_ocorrencia_alagamento.243,243,2026-01-16,ALAGAMENTO,,POINT (-46.757575600000834 -23.660841715893497),2026-07-03,MB - MBOI MIRIM,SIGRC
risco_ocorrencia_alagamento.259,259,2026-01-16,ALAGAMENTO,,POINT (-46.5266996000004 -23.585522815774695),2026-07-03,SB - SAPOPEMBA,SIGRC
risco_ocorrencia_alagamento.261,261,2026-01-16,ALAGAMENTO,,POINT (-46.73262030000076 -23.790601416099076),2026-07-03,PA - PARELHEIROS,SIGRC
risco_ocorrencia_alagamento.268,268,2026-01-16,ALAGAMENTO,,POINT (-46.75691870000082 -23.726577915997538),2026-07-03,MB - MBOI MIRIM,SIGRC
risco_ocorrencia_alagamento.269,269,2026-01-16,ALAGAMENTO,,POINT (-46.745879600000784 -23.684545315931004),2026-07-03,MB - MBOI MIRIM,SIGRC
risco_ocorrencia_alagamento.271,271,2026-01-16,ALAGAMENTO,,POINT (-46.546018700000424 -23.530195015687447),2026-07-03,PE - PENHA,SIGRC
risco_ocorrencia_alagamento.272,272,2026-01-16,ALAGAMENTO,,POINT (-46.757932100000836 -23.660494515892946),2026-07-03,CL - CAMPO LIMPO,SIGRC
risco_ocorrencia_alagamento.275,275,2026-01-16,ALAGAMENTO,,POINT (-46.740736500000786 -23.6396942158601),2026-07-03,CL - CAMPO LIMPO,SIGRC
risco_ocorrencia_alagamento.278,278,2026-01-16,ALAGAMENTO,,POINT (-46.741598800000794 -23.634706615852192),2026-07-03,CL - CAMPO LIMPO,SIGRC
risco_ocorrencia_alagamento.279,279,2026-01-16,ALAGAMENTO,,POINT (-46.762255400000846 -23.66862181590579),2026-07-03,CL - CAMPO LIMPO,SIGRC
risco_ocorrencia_alagamento.280,280,2026-01-16,ALAGAMENTO,,POINT (-46.78592780000091 -23.67990621592362),2026-07-03,CL - CAMPO LIMPO,SIGRC
risco_ocorrencia_alagamento.281,281,2026-01-16,ALAGAMENTO,,POINT (-46.65250300000061 -23.455007915569055),2026-07-03,CV - CASA VERDE/CACHOEIRINHA,SIGRC
risco_ocorrencia_alagamento.295,295,2026-01-17,ALAGAMENTO,,POINT (-46.78502080000091 -23.66508281590017),2026-07-03,CL - CAMPO LIMPO,SIGRC
risco_ocorrencia_alagamento.301,301,2026-01-17,ALAGAMENTO,,POINT (-46.65107690000058 -23.650736815877615),2026-07-03,JA - JABAQUARA,SIGRC
risco_ocorrencia_alagamento.305,305,2026-01-17,ALAGAMENTO,,POINT (-46.68705990000066 -23.7739434160727),2026-07-03,CS - CAPELA DO SOCORRO,SIGRC
risco_ocorrencia_alagamento.307,307,2026-01-17,ALAGAMENTO,,POINT (-46.530447800000395 -23.61372481581922),2026-07-03,VP - VILA PRUDENTE,SIGRC
risco_ocorrencia_alagamento.308,308,2026-01-17,ALAGAMENTO,,POINT (-46.53061500000039 -23.614021515819687),2026-07-03,VP - VILA PRUDENTE,SIGRC
risco_ocorrencia_alagamento.309,309,2026-01-17,ALAGAMENTO,,POINT (-46.5292511000004 -23.61366731581913),2026-07-03,VP - VILA PRUDENTE,SIGRC
risco_ocorrencia_alagamento.310,310,2026-01-17,ALAGAMENTO,,POINT (-46.65000540000059 -23.651563215878927),2026-07-03,JA - JABAQUARA,SIGRC
risco_ocorrencia_alagamento.322,322,2026-01-18,ALAGAMENTO,,POINT (-46.405627600000265 -23.491177115626066),2026-07-03,MP - SAO MIGUEL PAULISTA,SIGRC
risco_ocorrencia_alagamento.344,344,2026-01-19,ALAGAMENTO,,POINT (-46.7868783000009 -23.680179415924044),2026-07-03,CL - CAMPO LIMPO,SIGRC
